the location of the crime, 124, char, 2
211438.53894325, 211438.620763167, -5.0, 4.0, do not walk too
211440.172186125, 211440.35552175, 0.279999732971191, 4.0, do not walk tooa
211440.172186125, 211440.35552175, 0.279999732971191, 4.0, do not walk toob
211440.938849292, 211441.004268792, -5.0, 4.0, do not walk too
211442.205652875, 211443.204479792, 15.2950000762939, 4.0, do not walk too o
211442.205652875, 211443.204479792, 15.2950000762939, 4.0, do not walk too p
211444.039082542, 211444.122385167, -5.0, 4.0, do not walk too n
211444.208276458, 211444.271189125, -5.0, 4.0, do not walk too q
211445.005807792, 211445.67146675, 19.3374996185303, 4.0, do not walk too qt
211445.005807792, 211445.67146675, 19.3374996185303, 4.0, do not walk too qs
211446.272604958, 211446.354642208, -5.0, 4.0, do not walk too qu
211446.972658375, 211447.472644542, 7.21000003814697, 4.0, do not walk too qui
211448.439384458, 211450.372582042, 4.15750026702881, 4.0, do not walk too quia
211448.439384458, 211450.372582042, 4.15750026702881, 4.0, do not walk too quii
211451.039455333, 211451.104922208, -5.0, 4.0, do not walk too qui
211451.189583792, 211451.254921917, -5.0, 4.0, do not walk too quic
211451.873020083, 211452.77285875, 12.3249988555908, 4.0, do not walk too quici
211451.873020083, 211452.77285875, 12.3249988555908, 4.0, do not walk too quicl
211453.439685875, 211453.538571083, -5.0, 4.0, do not walk too quicm
211453.606849, 211453.690098542, -5.0, 4.0, do not walk too quick
211454.907015833, 211455.838398667, 12.2424983978271, 4.0, do not walk too quicki
211454.907015833, 211455.838398667, 12.2424983978271, 4.0, do not walk too quickl
211457.406726833, 211460.872448792, 27.0925025939941, 4.0, do not walk too quicklz
211457.406726833, 211460.872448792, 27.0925025939941, 4.0, do not walk too quickly
physics and chemistry are hard, 128, char, 2
211464.823679458, 211465.789100542, 15.0475006103516, 4.0, o
211466.623775625, 211468.19069075, 100.0, 1.0, 
211468.807201875, 211469.339469542, 18.1000003814697, 4.0, r
211468.807201875, 211469.339469542, 18.1000003814697, 4.0, s
211470.32422275, 211470.422852125, -5.0, 4.0, q
