beautiful paintings in the gallery, 0, false, 1
beautiful paintings in the gallery, 165, false, 1
207867.007177208, 207867.107469667, -5.0, 4.0
207867.173896875, 207867.272392417, -5.0, 4.0
207867.323658792, 207867.439072417, -5.0, 4.0
207867.507097208, 207867.622641333, -5.0, 4.0
207868.023757708, 207869.190249083, 18.1000003814697, 4.0
207869.790506583, 207869.889282958, -5.0, 4.0
207869.974383417, 207870.05717425, -5.0, 4.0
207870.124139583, 207870.207288042, -5.0, 4.0
207870.574085542, 207871.556073583, 19.1725006103516, 4.0
207871.940573958, 207872.040565625, -5.0, 4.0
207872.107379833, 207872.206088167, -5.0, 4.0
207872.273850958, 207872.374178, -5.0, 4.0
207873.324186458, 207873.589380417, 12.1599998474121, 4.0
207873.890455375, 207874.540635042, 100.0, 1.0
207873.823672375, 207874.82289275, -5.0, 4.0
207874.924141125, 207875.574262792, 100.0, 1.0
207874.924141125, 207875.922926125, -5.0, 4.0
207876.307484042, 207877.3897705, 20.4099998474121, 4.0
207877.940983083, 207878.023093917, -5.0, 4.0
207878.8913065, 207879.307954292, 3.00250053405762, 4.0
207879.90785075, 207879.98992675, -5.0, 4.0
207880.058139792, 207880.157901833, -5.0, 4.0
207880.207848917, 207880.306565083, -5.0, 4.0
207880.357822042, 207880.457626167, -5.0, 4.0
207880.557799958, 207880.673304958, -5.0, 4.0
207881.141350708, 207881.79139475, 19.0075016021729, 4.0
207882.241353792, 207882.341301375, -5.0, 4.0
207882.441482958, 207882.556750458, -5.0, 4.0
207883.291560208, 207883.641624042, -0.957499980926514, 4.0
207884.191411708, 207884.306829375, -5.0, 4.0
207884.541482333, 207886.775015542, 27.5050010681152, 4.0
207887.291872375, 207887.441778375, 100.0, 1.0
207887.258301708, 207887.791671667, -5.0, 4.0
207887.875205792, 207888.008244708, 100.0, 1.0
207887.875205792, 207888.340898542, -5.0, 4.0
207888.625090333, 207889.675221083, 1.43499994277954, 4.0
207890.191767875, 207890.307237083, -5.0, 4.0
207890.358735, 207890.490567125, -5.0, 4.0
207891.208733917, 207891.758721958, 13.4799995422363, 4.0
207892.308749375, 207892.407403792, -5.0, 4.0
207892.458817292, 207892.558783125, -5.0, 4.0
207892.858785708, 207894.22417675, 14.0574989318848, 4.0
207894.825422417, 207894.9910495, 1.43499994277954, 4.0
207895.025616375, 207895.15895975, -5.0, 4.0
207895.475488042, 207896.75890625, 19.3374996185303, 4.0
207897.092270125, 207897.2243885, -5.0, 4.0
207897.258923, 207897.391095375, -5.0, 4.0
207897.425669708, 207897.541193292, -5.0, 4.0
207897.575670625, 207897.675665208, -5.0, 4.0
207897.725612875, 207897.825661958, -5.0, 4.0
207897.875617875, 207897.99126175, -5.0, 4.0
207898.059034583, 207898.141040583, -5.0, 4.0
207899.209219708, 207899.325821792, 1.59999990463257, 4.0
207899.975800583, 207900.042341125, 100.0, 1.0
207900.77583325, 207900.875832417, 100.0, 1.0
207900.77583325, 207901.174708875, -5.0, 4.0
207901.275790667, 207901.409082042, 100.0, 1.0
207901.275790667, 207905.126112542, 14.0574989318848, 4.0
207905.65946025, 207905.774981667, -5.0, 4.0
207905.8265255, 207905.924950417, -5.0, 4.0
207906.259597958, 207907.5249895, 21.4825000762939, 4.0
207908.092954583, 207908.20859075, -5.0, 4.0
the power of denial, 78, false, 4
207910.743297667, 207911.392182917, 17.1100006103516, 4.0
207911.859963292, 207912.526663542, 1.7649998664856, 4.0
207913.076606458, 207913.193212917, 100.0, 1.0
207913.026609708, 207913.442125917, -5.0, 4.0
207913.512478667, 207913.60985175, 100.0, 1.0
207913.512478667, 207913.875734417, -5.0, 4.0
207913.993397917, 207915.442287458, 17.1100006103516, 4.0
207916.076958208, 207916.159138458, -5.0, 4.0
207916.243764625, 207916.326914458, -5.0, 4.0
207916.37689125, 207916.477041708, -5.0, 4.0
207916.527053375, 207916.642518875, -5.0, 4.0
207916.710198, 207916.825782917, -5.0, 4.0
207917.277222917, 207918.060382125, 5.64249992370605, 4.0
207918.643760875, 207918.759112042, -5.0, 4.0
207918.810454458, 207918.91040775, -5.0, 4.0
207918.996168583, 207919.075787458, -5.0, 4.0
207919.110671292, 207919.226014167, -5.0, 4.0
207919.27724725, 207919.392619833, -5.0, 4.0
207919.4606565, 207919.575836583, -5.0, 4.0
207919.660478375, 207919.776013375, -5.0, 4.0
207920.160570125, 207920.260453125, -5.0, 4.0
207920.344061042, 207920.442529458, -5.0, 4.0
207921.377368667, 207922.160830042, 4.15750026702881, 4.0
207922.760587625, 207922.860566208, -5.0, 4.0
207922.927585667, 207923.026028917, -5.0, 4.0
207923.077406583, 207923.192854042, -5.0, 4.0
207923.22729375, 207923.32732025, -5.0, 4.0
207923.377392208, 207923.49294625, -5.0, 4.0
207923.544195167, 207923.627387375, -5.0, 4.0
207924.877493167, 207925.294224583, -0.792500019073486, 4.0
207926.027473917, 207926.126181375, -5.0, 4.0
207926.177526375, 207926.277628417, -5.0, 4.0
207926.66100075, 207927.459927458, 15.1300010681152, 4.0
207928.063613792, 207928.1109545, -5.0, 4.0
207928.644405458, 207929.727831083, 15.1300010681152, 4.0
207930.494502, 207931.326721625, 22.1424999237061, 4.0
207932.211395417, 207932.728009917, 3.00250053405762, 4.0
207933.678146542, 207933.760174667, -5.0, 4.0
