do you prefer a window seat, 0, false, 1
do you prefer a window seat, 81, false, 1
296082.86956675, 296083.7346305, 13.1499996185303, 4.0
296084.25259475, 296084.351359333, -5.0, 4.0
296085.2530365, 296085.418024333, 1.10500001907349, 4.0
296086.269514667, 296087.051557875, 13.2325000762939, 4.0
296088.386599667, 296089.4363735, 24.1224994659424, 4.0
296091.003123167, 296091.103045083, -0.957499980926514, 4.0
296092.219854, 296092.63676425, 13.1499996185303, 4.0
296093.20313375, 296093.301915667, -5.0, 4.0
296093.37010725, 296093.469969292, -5.0, 4.0
296093.786649792, 296094.403260667, 10.0975008010864, 4.0
296094.919967583, 296095.002027042, -5.0, 4.0
296095.336743917, 296096.185596208, 19.0075016021729, 4.0
296096.8366775, 296096.968951792, -5.0, 4.0
296097.470631917, 296098.4356475, 20.0799999237061, 4.0
296098.953612875, 296099.020188917, -5.0, 4.0
296099.437079375, 296100.152598625, 11.1700000762939, 4.0
296100.70368675, 296100.785721833, -5.0, 4.0
296100.870649833, 296100.970356458, -5.0, 4.0
296101.3038715, 296101.719097833, 5.3125, 4.0
296102.153737042, 296102.252536917, -5.0, 4.0
296102.987184375, 296103.15389775, 2.09500026702881, 4.0
296104.054081667, 296104.437276083, 5.06500053405762, 4.0
296105.10395275, 296105.252649167, 0.197499752044678, 4.0
296106.087439625, 296106.752941792, 13.0675010681152, 4.0
296107.404162208, 296107.504095583, -5.0, 4.0
296107.58775, 296107.671348875, -5.0, 4.0
296107.787705583, 296107.886212958, -5.0, 4.0
296108.220863542, 296108.336262875, -5.0, 4.0
296108.887599708, 296109.319851292, 8.28250026702881, 4.0
296109.904227042, 296109.969586792, -5.0, 4.0
296111.071105958, 296111.171063417, -0.875, 4.0
296112.087866792, 296112.371204917, 1.02250003814697, 4.0
296113.721271417, 296114.688038, 100.0, 1.0
296115.721481083, 296116.2047545, 2.09500026702881, 4.0
296116.7046445, 296116.803452917, -5.0, 4.0
296116.888117375, 296116.986787167, -5.0, 4.0
296117.838172833, 296118.286895708, 7.53999996185303, 4.0
296118.938074083, 296119.021492458, -5.0, 4.0
296119.121647917, 296119.20503425, -5.0, 4.0
296119.28816225, 296119.386953417, -5.0, 4.0
296119.521646167, 296119.604824542, -5.0, 4.0
296119.804574833, 296119.886742625, -5.0, 4.0
a problem with the engine, 63, false, 6
296122.372211417, 296122.503809042, -0.957499980926514, 4.0
296123.0217285, 296123.103911, -5.0, 4.0
296123.938784792, 296124.038631125, 0.115000247955322, 4.0
296124.922167542, 296125.62086975, 15.3775005340576, 4.0
296126.238746333, 296126.3540475, -5.0, 4.0
296126.672195583, 296127.470932208, 20.4924983978271, 4.0
296128.088745583, 296128.187540208, -5.0, 4.0
296128.339076083, 296128.422203292, -5.0, 4.0
296128.52221625, 296128.605698083, -5.0, 4.0
296128.688737708, 296128.805766917, 0.0325002670288086, 4.0
296128.888848125, 296129.00416675, -5.0, 4.0
296129.338787167, 296130.03774, 14.2224998474121, 4.0
296130.538896, 296130.622184167, -5.0, 4.0
296131.255824208, 296131.522354542, 4.15750026702881, 4.0
296132.155631, 296132.2544665, -5.0, 4.0
296132.3728605, 296132.471152542, -5.0, 4.0
296133.039087833, 296133.121195583, -5.0, 4.0
296133.755881667, 296134.254553875, 11.1700000762939, 4.0
296134.78930475, 296134.871345167, -5.0, 4.0
296134.955911417, 296135.039249667, -5.0, 4.0
296135.122800375, 296135.171415083, -5.0, 4.0
296135.855860042, 296136.205927417, -5.0, 4.0
296136.8894175, 296137.272765333, 5.14750003814697, 4.0
296137.872859625, 296137.956018958, -5.0, 4.0
296138.389537708, 296138.988409875, 12.1599998474121, 4.0
296139.456120708, 296139.556141958, -5.0, 4.0
296140.422979875, 296140.556373208, 1.26999998092651, 4.0
296141.156306042, 296142.005243542, 21.0700016021729, 4.0
296142.589660833, 296142.688457833, -5.0, 4.0
296142.773095625, 296142.871692917, -5.0, 4.0
296143.240063083, 296143.706548417, 10.0150003433228, 4.0
296144.239777667, 296144.338531542, -5.0, 4.0
296144.723306375, 296145.305479333, 19.0900001525879, 4.0
296145.956573167, 296146.055412667, -5.0, 4.0
296146.556712083, 296147.273357083, 8.11750030517578, 4.0
296148.738826125, 296148.938978542, -5.0, 4.0
296149.973625167, 296150.756907083, 100.0, 1.0
296151.423556083, 296152.33932925, 8.03500080108643, 4.0
296153.75718925, 296153.873885125, -0.544999599456787, 4.0
296154.557264917, 296155.189258625, 20.1625003814697, 4.0
296155.790591833, 296155.87270275, -5.0, 4.0
296156.407380417, 296156.790641125, 9.10750007629395, 4.0
296157.273803917, 296157.372800958, -5.0, 4.0
296157.824238167, 296158.140739333, 4.15750026702881, 4.0
296159.473051917, 296159.574181042, -5.0, 4.0
296159.674296708, 296159.741221625, -5.0, 4.0
296159.840837375, 296159.939577542, -5.0, 4.0
296160.040979083, 296160.123057083, -5.0, 4.0
296161.174799708, 296161.323067042, 1.02250003814697, 4.0
296162.207688125, 296162.574425292, 4.15750026702881, 4.0
296163.191007042, 296163.323275375, -5.0, 4.0
296163.3745775, 296163.473188875, -5.0, 4.0
296163.574763792, 296163.67449475, -5.0, 4.0
296164.091175875, 296164.17335175, -5.0, 4.0
296164.608287292, 296165.2402115, 13.1499996185303, 4.0
296165.774480042, 296165.857899417, -5.0, 4.0
296166.441362292, 296166.808048667, 7.12750053405762, 4.0
296167.32458675, 296167.408056208, -5.0, 4.0
296167.841449833, 296168.40688725, 9.02500057220459, 4.0
296169.158197375, 296169.808230542, 14.0574989318848, 4.0
296170.908326375, 296171.291557875, 6.05500030517578, 4.0
296171.991768125, 296172.074926667, -5.0, 4.0
296172.175361667, 296172.257154375, -5.0, 4.0
for your information only, 57, false, 7
296177.975801542, 296178.308725167, 6.13749980926514, 4.0
296178.975434, 296179.042046625, -5.0, 4.0
296179.375810667, 296179.975640125, 15.2124996185303, 4.0
296180.892412417, 296181.791207208, 18.0174999237061, 4.0
296183.159573542, 296183.292733625, 0.527500152587891, 4.0
296183.825921333, 296184.874657, 25.1950016021729, 4.0
296185.525823458, 296185.591407958, -5.0, 4.0
296185.992957458, 296186.55933625, 16.1199989318848, 4.0
296187.225907125, 296187.30806175, -5.0, 4.0
296187.392964417, 296187.458138792, -5.0, 4.0
296187.7428695, 296188.408371292, 20.3274993896484, 4.0
296189.376608042, 296190.125126208, 18.1824989318848, 4.0
296190.826182792, 296190.941767458, -5.0, 4.0
296191.626453083, 296191.776447375, 2.01250028610229, 4.0
296192.776546542, 296193.159785875, 8.19999980926514, 4.0
296193.793045, 296193.85857775, -5.0, 4.0
296193.959921208, 296194.043044208, -5.0, 4.0
296194.426810792, 296195.075240458, 14.0574989318848, 4.0
296196.2100745, 296196.576667958, 5.06500053405762, 4.0
296197.443302417, 296197.543289875, -5.0, 4.0
296197.593488958, 296197.70857225, -5.0, 4.0
296197.793545708, 296197.8934165, -5.0, 4.0
296197.943270333, 296198.060111333, -5.0, 4.0
296198.460438042, 296199.025669583, 13.0675010681152, 4.0
296199.676880458, 296199.758940708, -5.0, 4.0
296199.843563, 296199.926971625, -5.0, 4.0
296200.026823125, 296200.125750292, -5.0, 4.0
296200.193656958, 296200.293672542, -5.0, 4.0
296200.777009958, 296201.492381958, 19.1725006103516, 4.0
296202.226920125, 296202.309027417, -5.0, 4.0
296202.41054, 296202.492512292, -5.0, 4.0
296202.577145292, 296202.676952667, -5.0, 4.0
296202.777002792, 296202.859065375, -5.0, 4.0
296203.443965792, 296203.825798542, -5.0, 4.0
296204.477268042, 296205.375856583, 13.0675010681152, 4.0
296206.327356375, 296206.56070225, 2.17750024795532, 4.0
296207.227239, 296207.326026583, -5.0, 4.0
