they might find your comment offensive, 139, char, 1
225331.109557458, 225331.676150125, 2.01250028610229, 4.0, the accb
225332.126135458, 225332.241631667, -5.0, 4.0, the acc
225332.326392333, 225332.409565333, -5.0, 4.0, the accc
225332.459704458, 225332.557992917, -5.0, 4.0, the accd
225332.626134542, 225332.724937792, -5.0, 4.0, the acce
225333.859644792, 225335.793062833, 12.0774993896484, 4.0, the accei
225333.859644792, 225335.793062833, 12.0774993896484, 4.0, the accel
225336.376206833, 225336.408293583, -5.0, 4.0, the accek
225336.509733708, 225336.591848292, -5.0, 4.0, the accem
225336.660100167, 225336.743272292, -5.0, 4.0, the accej
225336.80981375, 225336.893157875, -5.0, 4.0, the accen
225336.9764955, 225337.093184583, -5.0, 4.0, the acceo
225337.126548542, 225337.226600917, -5.0, 4.0, the acceh
225337.359693333, 225337.459785375, -5.0, 4.0, the accep
225338.926764833, 225339.708559792, 23.2150001525879, 4.0, the accepx
225338.926764833, 225339.708559792, 23.2150001525879, 4.0, the accepw
225340.526657542, 225340.608844792, -5.0, 4.0, the accepy
225340.67676425, 225340.760233708, -5.0, 4.0, the accepv
225340.827009542, 225340.908873208, -5.0, 4.0, the accepz
225340.993312792, 225341.043392333, -5.0, 4.0, the accepu
225341.126660917, 225341.226807083, -5.0, 4.0, the accept
225341.293859667, 225341.360352875, -5.0, 4.0, the acceps
225341.426785083, 225341.508794792, -5.0, 4.0, the accept
225344.126991083, 225344.227064083, -0.792500019073486, 4.0, the accepta
225345.54379425, 225346.44259425, 11.1700000762939, 4.0, the acceptai
225345.54379425, 225346.44259425, 11.1700000762939, 4.0, the acceptak
225347.160501208, 225347.2757905, -5.0, 4.0, the acceptaj
225347.393888917, 225347.443981042, -5.0, 4.0, the acceptal
225347.543894083, 225347.660380208, -5.0, 4.0, the acceptam
225347.710214667, 225347.809101208, -5.0, 4.0, the acceptah
225347.927255125, 225348.042789042, -5.0, 4.0, the acceptan
225349.127365375, 225351.210759292, 5.97250080108643, 4.0, the acceptani
225354.544266667, 225354.610819417, 100.0, 1.0, the acceptan
225354.544266667, 225355.794425958, 3.08500003814697, 4.0, the acceptana
225354.544266667, 225355.794425958, 3.08500003814697, 4.0, the acceptanb
225356.427795, 225356.509811875, -5.0, 4.0, the acceptan
225356.611161875, 225356.711013125, -5.0, 4.0, the acceptanc
225357.577831542, 225358.04454675, 3.00250053405762, 4.0, the acceptanca
225357.577831542, 225358.04454675, 3.00250053405762, 4.0, the acceptancb
225358.577866833, 225358.693290375, -5.0, 4.0, the acceptanc
225358.77800675, 225358.877819208, -5.0, 4.0, the acceptancc
225358.928165042, 225359.027854958, -5.0, 4.0, the acceptancd
225359.094606667, 225359.210190083, -5.0, 4.0, the acceptance
225359.527880625, 225359.626704542, -5.0, 4.0, the acceptanci
225359.9779065, 225360.161346208, -5.0, 4.0, the acceptance
225362.994863, 225365.111819958, 1.10500001907349, 4.0, the acceptancea
225362.994863, 225365.111819958, 1.10500001907349, 4.0, the acceptanceb
225365.561587125, 225365.661563, -5.0, 4.0, the acceptance
225366.528399375, 225367.610768417, 16.1199989318848, 4.0, the acceptance p
225366.528399375, 225367.610768417, 16.1199989318848, 4.0, the acceptance q
225368.19508225, 225368.295275167, -5.0, 4.0, the acceptance o
225368.361921042, 225368.445371458, -5.0, 4.0, the acceptance r
225368.528728417, 225368.611939625, -5.0, 4.0, the acceptance n
225368.661740042, 225368.760761625, -5.0, 4.0, the acceptance s
225369.461927333, 225370.260825208, 14.0574989318848, 4.0, the acceptance si
225369.461927333, 225370.260825208, 14.0574989318848, 4.0, the acceptance sn
225370.845407625, 225370.928640333, -5.0, 4.0, the acceptance so
225371.028765917, 225371.112040625, -5.0, 4.0, the acceptance sm
225371.195449083, 225371.262153375, -5.0, 4.0, the acceptance sp
225372.378854667, 225372.812221917, 7.21000003814697, 4.0, the acceptance spi
225372.378854667, 225372.812221917, 7.21000003814697, 4.0, the acceptance spg
225373.428784833, 225373.510906458, -5.0, 4.0, the acceptance sp
225373.578936792, 225373.677646667, -5.0, 4.0, the acceptance spf
225373.745693917, 225373.844336167, -5.0, 4.0, the acceptance sph
225373.912473458, 225373.994445708, -5.0, 4.0, the acceptance spe
225374.578874583, 225374.99575575, 3.08500003814697, 4.0, the acceptance spea
225374.578874583, 225374.99575575, 3.08500003814697, 4.0, the acceptance speb
225375.395674125, 225375.495654833, -5.0, 4.0, the acceptance spe
225375.562457, 225375.66109475, -5.0, 4.0, the acceptance spec
225375.762767583, 225375.861139583, -5.0, 4.0, the acceptance sped
225375.965051583, 225376.011175917, -5.0, 4.0, the acceptance spee
225376.712502458, 225377.145852708, 3.08500003814697, 4.0, the acceptance speea
225376.712502458, 225377.145852708, 3.08500003814697, 4.0, the acceptance speeb
225377.4792085, 225377.561294292, -5.0, 4.0, the acceptance spee
225377.62949475, 225377.72793475, -5.0, 4.0, the acceptance speec
225377.812645708, 225377.879274667, -5.0, 4.0, the acceptance speed
225377.945867458, 225378.02804925, -5.0, 4.0, the acceptance speec
225379.846400542, 225380.411524333, 9.19000053405762, 4.0, the acceptance speeci
225379.846400542, 225380.411524333, 9.19000053405762, 4.0, the acceptance speech
225382.596256458, 225382.862853417, 2.01250028610229, 4.0, the acceptance speecha
225382.596256458, 225382.862853417, 2.01250028610229, 4.0, the acceptance speechb
225383.412885125, 225383.496156375, -5.0, 4.0, the acceptance speech
225384.296040625, 225385.411783167, 24.0399990081787, 4.0, the acceptance speech y
225384.296040625, 225385.411783167, 24.0399990081787, 4.0, the acceptance speech x
225386.029772917, 225386.111815542, -5.0, 4.0, the acceptance speech z
225386.196528042, 225386.279851458, -5.0, 4.0, the acceptance speech w
225386.946455833, 225387.146398792, 4.07499980926514, 4.0, the acceptance speech wa
225386.946455833, 225387.146398792, 4.07499980926514, 4.0, the acceptance speech wi
225387.779612125, 225387.845252167, -5.0, 4.0, the acceptance speech wa
225389.39634175, 225390.145563542, 19.0900001525879, 4.0, the acceptance speech was
225391.946778417, 225392.180058542, 3.25, 4.0, the acceptance speech wasa
225391.946778417, 225392.180058542, 3.25, 4.0, the acceptance speech wasc
225392.963398958, 225393.0801365, -5.0, 4.0, the acceptance speech was
225394.263681875, 225394.763654417, 0.115000247955322, 4.0, the acceptance speech was a
225394.263681875, 225394.763654417, 0.115000247955322, 4.0, the acceptance speech was b
225396.896931125, 225397.679313583, 14.0574989318848, 4.0, the acceptance speech was bi
225396.896931125, 225397.679313583, 14.0574989318848, 4.0, the acceptance speech was bn
225398.430522125, 225398.513802417, -5.0, 4.0, the acceptance speech was bo
225399.24724375, 225400.397292167, 17.1100006103516, 4.0, the acceptance speech was boq
