the location of the crime, 0, false, 1
the location of the crime, 80, false, 1
240418.089651, 240418.2063365, -5.0, 4.0
240418.256297833, 240418.388515583, -5.0, 4.0
240418.458891917, 240418.556365125, -5.0, 4.0
240419.423369, 240420.60654975, 13.0675010681152, 4.0
240421.173210708, 240421.273204, -5.0, 4.0
240421.35654875, 240421.456827042, -5.0, 4.0
240422.473366708, 240424.073375167, 18.1000003814697, 4.0
240424.606721292, 240424.705482458, -5.0, 4.0
240425.240243125, 240425.806846, 8.11750030517578, 4.0
240426.773671, 240427.923746417, 24.2049999237061, 4.0
240428.690374167, 240428.805747958, -5.0, 4.0
240428.857313958, 240428.957167792, -5.0, 4.0
240429.02390325, 240429.155822667, -5.0, 4.0
240429.3904445, 240429.522471167, -5.0, 4.0
240430.090546375, 240430.490571667, 4.15750026702881, 4.0
240431.090548417, 240431.189231542, -5.0, 4.0
240431.2574075, 240431.356111792, -5.0, 4.0
240431.4240605, 240431.540536417, -5.0, 4.0
240431.6073935, 240431.739384333, -5.0, 4.0
240431.790827833, 240431.90584975, -5.0, 4.0
240431.990860167, 240432.057277, -5.0, 4.0
what you see is what you get, 100, false, 6
240434.557503958, 240435.69098825, 21.1525001525879, 4.0
240436.407486333, 240436.539700458, -5.0, 4.0
240436.591025875, 240436.689981917, -5.0, 4.0
240437.207754542, 240438.057709292, 7.04500007629395, 4.0
240438.657632917, 240438.79119075, -5.0, 4.0
240438.876935, 240438.941200333, -5.0, 4.0
240439.024493625, 240439.124539375, -5.0, 4.0
240439.440853292, 240439.507477417, -5.0, 4.0
240440.241178167, 240440.541199417, 2.01250028610229, 4.0
240441.091163833, 240441.206596583, -5.0, 4.0
240441.974629917, 240443.241493458, 17.0275001525879, 4.0
240443.807961167, 240443.923524125, -5.0, 4.0
240443.974979958, 240444.074906792, -5.0, 4.0
240444.174938167, 240444.273438208, -5.0, 4.0
240444.45810125, 240444.556764167, -5.0, 4.0
240444.741484292, 240444.824718917, -5.0, 4.0
240445.458098, 240446.0084715, -5.0, 4.0
240448.707097625, 240448.790478542, -5.0, 4.0
240449.725087208, 240450.041876958, 1.02250003814697, 4.0
240451.208578417, 240452.808647292, 23.1325016021729, 4.0
240453.425409833, 240453.540793208, -5.0, 4.0
240453.625418, 240453.708761583, -5.0, 4.0
240454.40873125, 240455.42555325, 15.0475006103516, 4.0
240456.408932625, 240457.80900225, 19.0075016021729, 4.0
240458.54250875, 240458.657658333, -5.0, 4.0
240458.72585875, 240458.824404333, -5.0, 4.0
240459.009187083, 240459.075595625, -5.0, 4.0
240460.125792625, 240460.392563167, 0.115000247955322, 4.0
240461.225953083, 240462.359248833, 17.1100006103516, 4.0
240462.825919292, 240462.925932167, -5.0, 4.0
240463.009395875, 240463.108105208, -5.0, 4.0
240463.259359708, 240463.374741792, -5.0, 4.0
240464.10941075, 240464.576054042, 4.07499980926514, 4.0
240465.774937583, 240465.891484417, -5.0, 4.0
240465.959610708, 240466.042888875, -5.0, 4.0
240466.126257333, 240466.241613875, -5.0, 4.0
240466.328707208, 240466.424974292, -5.0, 4.0
240466.526126542, 240466.659492417, -5.0, 4.0
240466.793002125, 240466.90821475, -5.0, 4.0
240467.526254125, 240468.009685333, 5.14750003814697, 4.0
240468.576320792, 240468.691760625, -5.0, 4.0
240468.759623458, 240468.875048375, -5.0, 4.0
240468.959909125, 240469.075094667, -5.0, 4.0
240469.30968225, 240469.359671667, -5.0, 4.0
240469.926479875, 240470.375166667, -5.0, 4.0
240471.209777417, 240471.55993575, 1.02250003814697, 4.0
