questioning the wisdom of the courts, 0, false, 1
questioning the wisdom of the courts, 148, false, 1
300587.064642375, 300587.180246458, -5.0, 4.0
300587.981783958, 300588.748163292, 7.04500007629395, 4.0
300589.26472525, 300589.363806542, -5.0, 4.0
300590.181729583, 300591.0316025, 9.10750007629395, 4.0
300591.99862775, 300592.763723375, 14.2224998474121, 4.0
300593.531814333, 300593.798760417, 5.14750003814697, 4.0
300594.515152875, 300594.613837292, -5.0, 4.0
300594.69884525, 300594.76384025, -5.0, 4.0
300594.848851958, 300594.947250083, -5.0, 4.0
300595.014974125, 300595.097224292, -5.0, 4.0
300595.181761667, 300595.263859292, -5.0, 4.0
300595.548484083, 300595.64860725, -5.0, 4.0
300595.898572708, 300595.997282292, -5.0, 4.0
300596.649067, 300598.348646792, 23.0500011444092, 4.0
300598.915342792, 300598.997465208, -5.0, 4.0
300599.082338, 300599.1641995, -5.0, 4.0
300599.249007625, 300599.330862083, -5.0, 4.0
300599.398775708, 300599.480972792, -5.0, 4.0
300599.565521, 300599.630805375, -5.0, 4.0
300599.71528325, 300599.814140125, -5.0, 4.0
300600.782268708, 300601.682347458, 9.02500057220459, 4.0
300602.532404458, 300604.1812095, 14.1399993896484, 4.0
300604.665864875, 300604.74784975, -5.0, 4.0
300605.432597708, 300606.214671, 13.1499996185303, 4.0
300606.815907167, 300606.931360542, -5.0, 4.0
300608.149498, 300608.366051875, 2.17750024795532, 4.0
300609.232757583, 300610.081563458, 18.0174999237061, 4.0
300611.13294, 300611.21501475, -5.0, 4.0
300611.316336333, 300611.398229583, -5.0, 4.0
300611.466507708, 300611.565023042, -5.0, 4.0
300611.632948792, 300611.715103042, -5.0, 4.0
300611.782859042, 300611.881595833, -5.0, 4.0
300611.949612792, 300612.031627458, -5.0, 4.0
300612.733035167, 300613.499643583, 6.22000026702881, 4.0
300614.515116917, 300614.59851125, -5.0, 4.0
300615.66661675, 300615.883320917, 4.15750026702881, 4.0
300616.899889875, 300618.282136792, 17.0275001525879, 4.0
300618.950111083, 300619.048857458, -5.0, 4.0
300619.133761333, 300619.215437375, -5.0, 4.0
300619.300306417, 300619.398805333, -5.0, 4.0
300619.533324625, 300619.648945417, -5.0, 4.0
300619.817033583, 300619.931880208, -5.0, 4.0
300620.933587792, 300622.350411708, 6.05500030517578, 4.0
300622.966995417, 300623.065786458, -5.0, 4.0
300623.1508355, 300623.248990292, -5.0, 4.0
300623.317344458, 300623.399110333, -5.0, 4.0
300623.483522125, 300623.565862083, -5.0, 4.0
300623.650578917, 300623.733678792, -5.0, 4.0
300623.983620333, 300624.082464667, -5.0, 4.0
300624.667181083, 300625.300538917, 6.05500030517578, 4.0
300625.867238333, 300625.965967458, -5.0, 4.0
300626.067628333, 300626.149259583, -5.0, 4.0
300627.217873708, 300627.467237583, 4.23999977111816, 4.0
300628.484254875, 300629.416282208, 13.0675010681152, 4.0
300630.416413, 300630.499565958, -5.0, 4.0
300631.21753475, 300631.334222792, -0.792500019073486, 4.0
300631.917515917, 300632.017490917, -5.0, 4.0
300632.684352917, 300634.934462375, 18.0174999237061, 4.0
300635.601095583, 300635.683367833, -5.0, 4.0
300635.784842458, 300635.866515875, -5.0, 4.0
300635.934543625, 300636.03328675, -5.0, 4.0
300636.518066542, 300637.083375333, 10.0150003433228, 4.0
300637.63476475, 300637.733764125, -5.0, 4.0
300638.334666333, 300640.201526458, 12.0774993896484, 4.0
300640.784764875, 300640.851428042, -5.0, 4.0
300640.968573375, 300641.050176, -5.0, 4.0
300641.135401667, 300641.200358125, -5.0, 4.0
300641.284748583, 300641.366949375, -5.0, 4.0
300641.451737833, 300641.51669125, -5.0, 4.0
300641.601412458, 300641.683663792, -5.0, 4.0
300642.252004, 300643.168164, 15.1300010681152, 4.0
300643.818436625, 300643.884973583, -5.0, 4.0
300643.984961083, 300644.0685425, -5.0, 4.0
a good response to the question, 95, false, 4
300647.035510875, 300647.284031667, 4.23999977111816, 4.0
300647.968559042, 300648.035192125, -5.0, 4.0
300648.135292167, 300648.217382208, -5.0, 4.0
300648.302391375, 300648.384022583, -5.0, 4.0
300648.452029542, 300648.550828542, -5.0, 4.0
300648.635374, 300648.700887208, -5.0, 4.0
300648.768889042, 300648.850881708, -5.0, 4.0
300650.18550075, 300650.335320708, -0.875, 4.0
300651.368916583, 300651.852279667, 6.13749980926514, 4.0
300652.518944458, 300652.602168458, -5.0, 4.0
300652.70238275, 300652.784375958, -5.0, 4.0
300652.869297833, 300652.951010083, -5.0, 4.0
300653.385711292, 300654.151135417, 16.1199989318848, 4.0
300654.902498458, 300655.00105825, -5.0, 4.0
300655.08603525, 300655.184617792, -5.0, 4.0
300655.819195792, 300656.784673667, 18.0174999237061, 4.0
300657.285835125, 300657.384550125, -5.0, 4.0
300657.469275042, 300657.534647583, -5.0, 4.0
300657.619560333, 300657.70139075, -5.0, 4.0
300657.785898667, 300657.851505667, -5.0, 4.0
300657.93596175, 300658.01817875, -5.0, 4.0
300658.086268833, 300658.168154917, -5.0, 4.0
300658.886036708, 300659.269388625, 4.15750026702881, 4.0
300660.534782, 300660.634851292, -5.0, 4.0
300660.719685292, 300660.786562625, -5.0, 4.0
300661.736382292, 300661.952893875, 5.06500053405762, 4.0
300662.952837917, 300664.135272125, 16.0375003814697, 4.0
300664.969800875, 300665.068516667, -5.0, 4.0
300665.153237792, 300665.218557375, -5.0, 4.0
300665.303448917, 300665.401995583, -5.0, 4.0
300665.91987875, 300666.469782917, 6.22000026702881, 4.0
300667.303225583, 300667.385347333, -5.0, 4.0
300667.470111, 300667.551980542, -5.0, 4.0
300668.10334075, 300670.336744375, 18.1000003814697, 4.0
300670.886955083, 300670.985602042, -5.0, 4.0
300671.803526542, 300672.602335708, 17.2749996185303, 4.0
300673.303534833, 300673.402306375, -5.0, 4.0
300673.503812667, 300673.58564875, -5.0, 4.0
300673.653815375, 300673.752384, -5.0, 4.0
300674.137023375, 300675.7871605, 14.0574989318848, 4.0
300676.437058917, 300676.5358255, -5.0, 4.0
300677.103913667, 300677.970605208, 16.0375003814697, 4.0
300678.487289167, 300678.585997208, -5.0, 4.0
300678.687369292, 300678.752672708, -5.0, 4.0
300678.837460583, 300678.936055417, -5.0, 4.0
300679.203933083, 300679.302764167, -5.0, 4.0
300679.787484542, 300682.036251542, 19.0075016021729, 4.0
300682.95429875, 300683.754287833, 6.05500030517578, 4.0
300684.337583333, 300684.4367065, -5.0, 4.0
300684.504419208, 300684.603079875, -5.0, 4.0
300685.571436375, 300687.821279083, 1.59999990463257, 4.0
300689.021222542, 300690.171512542, 18.1000003814697, 4.0
300690.821403167, 300690.920220042, -5.0, 4.0
300691.004882083, 300691.0868995, -5.0, 4.0
300691.18836775, 300691.270172417, -5.0, 4.0
300691.871510333, 300693.120472792, 15.2950000762939, 4.0
300694.688377625, 300694.921748417, 2.01250028610229, 4.0
300695.838317167, 300697.170708667, 18.0174999237061, 4.0
300697.955289458, 300698.054039083, -5.0, 4.0
300698.138592417, 300698.22063375, -5.0, 4.0
300698.305672542, 300698.387320375, -5.0, 4.0
300698.955377042, 300700.155471083, 11.0874996185303, 4.0
300700.722056042, 300700.804164833, -5.0, 4.0
300700.8891345, 300700.970910792, -5.0, 4.0
