the bathroom is good for reading, 0, false, 1
244791.865506833, 244791.964311667, -5.0, 4.0
244792.032143667, 244792.13091425, -5.0, 4.0
244792.231956542, 244792.331019042, -5.0, 4.0
244793.349059208, 244793.9479525, 11.5825004577637, 4.0
244794.449059208, 244794.531050375, -5.0, 4.0
244794.665733208, 244794.747787625, -5.0, 4.0
244795.265777042, 244795.881291792, 9.10750007629395, 4.0
244796.582469167, 244796.664604125, -5.0, 4.0
244796.765830042, 244796.831260583, -5.0, 4.0
244796.916087917, 244796.997835917, -5.0, 4.0
244797.065860708, 244797.147804792, -5.0, 4.0
244797.199246875, 244797.314786833, -5.0, 4.0
244797.382688458, 244797.464761583, -5.0, 4.0
244798.599386292, 244799.64826025, 14.0574989318848, 4.0
244800.132666542, 244800.214680375, -5.0, 4.0
244800.349464708, 244800.448107375, -5.0, 4.0
244800.799605958, 244801.664942917, 18.1824989318848, 4.0
244802.249434667, 244802.348194875, -5.0, 4.0
244803.233074917, 244803.484464542, 4.07499980926514, 4.0
244804.73350025, 244805.648501917, 21.2350006103516, 4.0
244806.183214333, 244806.2648575, -5.0, 4.0
244806.399657917, 244806.48185875, -5.0, 4.0
244806.83332525, 244807.066498792, 4.23999977111816, 4.0
244807.716457042, 244807.798581625, -5.0, 4.0
244808.349983, 244809.165546458, 18.1824989318848, 4.0
