word,time,elapse,selection,user,id,in_sentence,mode,sentence_first,reset
this,3.7834221669763792,2.0669969580194447,0.0,guyizheng_1473671271,45,3,word,False,False
do,1.5336010830069426,2.8000951670110226,0.0,guyizheng_1473671271,46,0,word,True,False
you,3.4168964579876047,1.816844459011918,0.0,guyizheng_1473671271,46,1,word,False,False
like,3.2168235829740297,1.6501173330179881,0.0,guyizheng_1473671271,46,2,word,False,False
to,2.783566708996659,2.76684991599177,0.0,guyizheng_1473671271,46,3,word,False,False
shop,3.916981584014138,3.1505788750073407,2.0998881249979604,guyizheng_1473671271,46,4,word,False,False
on,1.1499067079857923,1.666710499994224,0.0,guyizheng_1473671271,46,5,word,False,False
he,1.2501118749787565,1.6332812090113293,0.0,guyizheng_1473671271,47,0,word,True,False
is,1.9834531660017092,1.9335573749849573,0.0,guyizheng_1473671271,47,1,word,False,False
still,6.417007334006485,1.450159916013945,0.0,guyizheng_1473671271,47,2,word,False,False
on,1.3333722919924185,1.7334888750046957,0.0,guyizheng_1473671271,47,3,word,False,False
our,3.033449707989348,1.6334042090165894,0.0,guyizheng_1473671271,47,4,word,False,False
an,1.3501431659969967,1.900168958993163,0.0,guyizheng_1473671271,48,0,word,True,False
offer,4.45013545799884,2.2668915830145124,0.0,guyizheng_1473671271,48,1,word,False,False
you,3.41689283400774,1.1667313749785535,0.0,guyizheng_1473671271,48,2,word,False,False
cannot,4.850309833011124,1.9001825829909649,0.0,guyizheng_1473671271,48,3,word,False,False
the,2.1333484170027077,1.8002759579976555,0.0,guyizheng_1473671271,49,0,word,True,False
location,6.583720875001745,2.6668817090103403,0.0,guyizheng_1473671271,49,1,word,False,False
of,1.4833196249965113,1.5335830409894697,0.0,guyizheng_1473671271,49,2,word,False,False
the,2.0999728750030044,1.3668339590076357,0.0,guyizheng_1473671271,49,3,word,False,False
the,2.2167949169815984,1.799997667025309,0.0,guyizheng_1473671271,50,0,word,True,False
world,3.850244749977719,1.55019666600856,0.0,guyizheng_1473671271,50,1,word,False,False
is,1.4169460840057582,2.0999840830045287,0.0,guyizheng_1473671271,50,2,word,False,False
a,0.3833825829788111,1.2167507090198342,0.0,guyizheng_1473671271,50,3,word,False,False
the,2.366665750014363,1.7673362089844886,0.0,guyizheng_1473671271,51,0,word,True,False
punishment,9.850390083011007,1.633402333012782,0.0,guyizheng_1473671271,51,1,word,False,False
should,7.033835916983662,1.6333755000086967,0.0,guyizheng_1473671271,51,2,word,False,False
eds,2.3667605420050677,0.8167932500073221,5.783770915993955,guyizheng_1473671271,51,3,word,False,False
fit,12.617833500000415,2.6348177079926245,5.265461292001419,guyizheng_1473671271,51,3,word,False,False
the,2.6667499580071308,2.250143124983879,0.0,guyizheng_1473671271,51,4,word,False,False
a,1.550271874992177,1.7321898750087712,0.9164007079962175,guyizheng_1473671271,52,0,word,True,False
problem,8.318568042013794,1.8835152499959804,0.0,guyizheng_1473671271,52,1,word,False,False
with,4.050320124981226,1.2667076670040842,0.0,guyizheng_1473671271,52,2,word,False,False
the,2.2667948750022333,2.783479208010249,0.0,guyizheng_1473671271,52,3,word,False,False
fish,4.30020195900579,1.3502101670019329,1.2834320410038345,guyizheng_1473671271,53,0,word,True,False
are,3.3000839579908643,1.9668012089969125,0.0,guyizheng_1473671271,53,1,word,False,False
a,0.30005800002254546,2.0335984579869546,0.0,guyizheng_1473671271,54,0,word,True,False
fox,2.733321582985809,1.6335621250036638,2.1668400420167018,guyizheng_1473671271,54,1,word,False,False
is,1.983286542003043,2.400315665989183,0.0,guyizheng_1473671271,54,2,word,False,False
is,5.950245749991154,1.1500374159950297,0.46679020900046453,guyizheng_1473671271,54,2,word,False,False
a,0.6334298750152811,1.583460791996913,0.0,guyizheng_1473671271,54,3,word,False,False
very,3.5502653750008903,1.1833934999885969,0.0,guyizheng_1473671271,54,4,word,False,False
smart,4.050368000025628,0.968447457998991,1.565372541983379,guyizheng_1473671271,54,5,word,False,False
choice,5.36661358299898,0.683348833990749,4.883616750012152,guyizheng_1473671271,54,6,word,False,False
smart,5.36661358299898,1.716960666992236,5.716787000012118,guyizheng_1473671271,54,5,word,False,False
express,5.8170747499971185,1.4837611250113696,0.0,guyizheng_1473671271,55,0,word,True,False
deliver,7.366844000003766,3.2334808750019874,0.0,guyizheng_1473671271,55,1,word,False,False
is,1.8334383329784032,4.067125375004252,0.0,guyizheng_1473671271,55,2,word,False,False
very,3.566786334005883,1.400028750009369,0.0,guyizheng_1473671271,55,3,word,False,False
sign,3.8168956250010524,1.4849944169982336,2.0154009999823757,guyizheng_1473671271,56,0,word,True,False
the,2.916648250014987,1.8669708749803249,0.0,guyizheng_1473671271,56,1,word,False,False
withdrawal,9.467093416024,2.9002704589802306,0.0,guyizheng_1473671271,56,2,word,False,False
snap,3.2336893750180025,1.9183190840121824,6.248975790978875,guyizheng_1473671271,56,3,word,False,False
withdrawal,3.2336893750180025,1.4002855829894543,8.233392458001617,guyizheng_1473671271,56,2,word,False,False
gun,2.5002942499995697,1.2832769580127206,0.0,guyizheng_1473671271,57,0,word,True,False
powder,5.150305707997177,1.5668757499952335,0.0,guyizheng_1473671271,57,1,word,False,False
must,3.316828250011895,1.0168290839937981,0.0,guyizheng_1473671271,57,2,word,False,False
be,1.6332849159953184,1.866903749993071,0.0,guyizheng_1473671271,57,3,word,False,False
handled,5.23344625000027,2.467130584002007,0.0,guyizheng_1473671271,57,4,word,False,False
with,3.8667195000161882,2.317022083007032,0.0,guyizheng_1473671271,57,5,word,False,False
play,3.3334276670066174,2.0339892499905545,0.0,guyizheng_1473671271,58,0,word,True,False
it,2.049529915995663,1.1333754170045722,0.0,guyizheng_1473671271,58,1,word,False,False
again,4.150219333008863,2.100333124981262,0.0,guyizheng_1473671271,58,2,word,False,False
thank,6.48370729200542,1.799980832991423,0.0,guyizheng_1473671271,59,0,word,True,False
you,2.767014792014379,1.6334243750025053,0.0,guyizheng_1473671271,59,1,word,False,False
for,3.9169565409829374,1.1666814170021098,0.0,guyizheng_1473671271,59,2,word,False,False
your,3.800247292005224,1.2500371249916498,0.0,guyizheng_1473671271,59,3,word,False,False
ca,1.3672591670183465,0.9998288750066422,0.0,guyizheng_1473671271,60,0,word,True,False
a,0.5666587500018068,1.2668531659874134,0.0,guyizheng_1473671271,60,0,word,True,False
fox,2.4334770000132266,1.1669915830134414,1.6665675419790205,guyizheng_1473671271,60,1,word,False,False
is,2.0500135839974973,1.516650582983857,0.0,guyizheng_1473671271,60,2,word,False,False
a,0.40019495799788274,1.0665585000242572,0.0,guyizheng_1473671271,60,3,word,False,False
very,3.7172620419878513,1.4999416249920614,0.0,guyizheng_1473671271,60,4,word,False,False
smart,3.8335725000069942,1.3333795419894159,0.0,guyizheng_1473671271,60,5,word,False,False
find,2.2833459580142517,2.66805670899339,2.3655356249946635,lixiaohan_1473762661,9,0,word,True,False
a,0.21541704100673087,10.418487499991897,0.0,lixiaohan_1473762661,9,1,word,False,False
nearby,5.1992070419946685,3.985377833014354,0.0,lixiaohan_1473762661,9,2,word,False,False
find,6.501885374978883,6.083774541999446,0.0,lixiaohan_1473762661,9,0,word,True,False
a,0.26663262501824647,2.1333940000040457,0.0,lixiaohan_1473762661,9,1,word,False,False
nearby,8.683986582997022,1.9667597499792464,0.0,lixiaohan_1473762661,9,2,word,False,False
parking,14.817611000005854,1.8834899170033168,0.0,lixiaohan_1473762661,9,3,word,False,False
never,6.76714599999832,1.11641612497624,0.0,lixiaohan_1473762661,10,0,word,True,False
too,3.2336522500263527,0.7333262499887496,0.0,lixiaohan_1473762661,10,1,word,False,False
rich,3.983724916994106,2.0167966250155587,0.0,lixiaohan_1473762661,10,2,word,False,False
and,2.53363779198844,1.200097041000845,0.0,lixiaohan_1473762661,10,3,word,False,False
never,5.816926625004271,1.4834788340085652,0.0,lixiaohan_1473762661,10,4,word,False,False
s,1.2333297499862965,1.1667100409977138,0.0,lixiaohan_1473762661,10,5,word,False,False
never,1.2333297499862965,0.7167884999944363,1.233239291002974,lixiaohan_1473762661,10,4,word,False,False
too,2.8836125420057215,1.1168537079938687,0.0,lixiaohan_1473762661,10,5,word,False,False
the,2.6162717909901403,1.1167836250097025,0.0,lixiaohan_1473762661,11,0,word,True,False
